ETH_Face#48 ['headband', 'pirate_eyepatch', 'mustache']
ETH_Face#49 ['headset', 'eyes', 'mustache']
ETH_Face#50 ['headset', 'round_glasses', 'mustache']
ETH_Face#51 ['headset', 'pixel_sunglasses', 'mustache']
ETH_Face#52 ['headset', 'pirate_eyepatch', 'mustache']
ETH_Face#53 ['fedora', 'eyes', 'mustache']
ETH_Face#54 ['fedora', 'round_glasses', 'mustache']
ETH_Face#55 ['fedora', 'pixel_sunglasses', 'mustache']
ETH_Face#56 ['fedora', 'pirate_eyepatch', 'mustache']
ETH_Face#57 ['crown', 'eyes', 'mustache']
ETH_Face#58 ['crown', 'round_glasses', 'mustache']
ETH_Face#59 ['crown', 'pixel_sunglasses', 'mustache']
ETH_Face#60 ['crown', 'pirate_eyepatch', 'mustache']
ETH_Face#61 ['none', 'eyes', 'beard']
ETH_Face#62 ['none', 'round_glasses', 'beard']
ETH_Face#63 ['none', 'pixel_sunglasses', 'beard']
ETH_Face#64 ['none', 'pirate_eyepatch', 'beard']
ETH_Face#65 ['headband', 'eyes', 'beard']
ETH_Face#66 ['headband', 'round_glasses', 'beard']
ETH_Face#67 ['headband', 'pixel_sunglasses', 'beard']
ETH_Face#68 ['headband', 'pirate_eyepatch', 'beard']
ETH_Face#69 ['headset', 'eyes', 'beard']
ETH_Face#70 ['headset', 'round_glasses', 'beard']
ETH_Face#71 ['headset', 'pixel_sunglasses', 'beard']
ETH_Face#72 ['headset', 'pirate_eyepatch', 'beard']
ETH_Face#73 ['fedora', 'eyes', 'beard']
ETH_Face#74 ['fedora', 'round_glasses', 'beard']
ETH_Face#75 ['fedora', 'pixel_sunglasses', 'beard']
ETH_Face#76 ['fedora', 'pirate_eyepatch', 'beard']
ETH_Face#77 ['crown', 'eyes', 'beard']
ETH_Face#78 ['crown', 'round_glasses', 'beard']
ETH_Face#79 ['crown', 'pixel_sunglasses', 'beard']
ETH_Face#80 ['crown', 'pirate_eyepatch', 'beard']
ETH_Face#81 ['none', 'eyes', 'blusher']
ETH_Face#82 ['none', 'round_glasses', 'blusher']
ETH_Face#83 ['none', 'pixel_sunglasses', 'blusher']
ETH_Face#84 ['none', 'pirate_eyepatch', 'blusher']
ETH_Face#85 ['headband', 'eyes', 'blusher']
ETH_Face#86 ['headband', 'round_glasses', 'blusher']
ETH_Face#87 ['headband', 'pixel_sunglasses', 'blusher']
ETH_Face#88 ['headband', 'pirate_eyepatch', 'blusher']
ETH_Face#89 ['headset', 'eyes', 'blusher']
ETH_Face#90 ['headset', 'round_glasses', 'blusher']
ETH_Face#91 ['headset', 'pixel_sunglasses', 'blusher']
ETH_Face#92 ['headset', 'pirate_eyepatch', 'blusher']
ETH_Face#93 ['fedora', 'eyes', 'blusher']
ETH_Face#94 ['fedora', 'round_glasses', 'blusher']
ETH_Face#95 ['fedora', 'pixel_sunglasses', 'blusher']
ETH_Face#96 ['fedora', 'pirate_eyepatch', 'blusher']
ETH_Face#97 ['crown', 'eyes', 'blusher']
ETH_Face#98 ['crown', 'round_glasses', 'blusher']
ETH_Face#99 ['crown', 'pixel_sunglasses', 'blusher']
ETH_Face#100 ['crown', 'pirate_eyepatch', 'blusher']
BNB_Face#1 ['none', 'eyes', 'none']
BNB_Face#2 ['none', 'round_glasses', 'none']
BNB_Face#3 ['none', 'pixel_sunglasses', 'none']
BNB_Face#4 ['none', 'pirate_eyepatch', 'none']
BNB_Face#5 ['headband', 'eyes', 'none']
BNB_Face#6 ['headband', 'round_glasses', 'none']
BNB_Face#7 ['headband', 'pixel_sunglasses', 'none']
BNB_Face#8 ['headband', 'pirate_eyepatch', 'none']
BNB_Face#9 ['headset', 'eyes', 'none']
BNB_Face#10 ['headset', 'round_glasses', 'none']
BNB_Face#11 ['headset', 'pixel_sunglasses', 'none']
BNB_Face#12 ['headset', 'pirate_eyepatch', 'none']
BNB_Face#13 ['fedora', 'eyes', 'none']
BNB_Face#14 ['fedora', 'round_glasses', 'none']
BNB_Face#15 ['fedora', 'pixel_sunglasses', 'none']
BNB_Face#16 ['fedora', 'pirate_eyepatch', 'none']
BNB_Face#17 ['crown', 'eyes', 'none']
BNB_Face#18 ['crown', 'round_glasses', 'none']
BNB_Face#19 ['crown', 'pixel_sunglasses', 'none']
BNB_Face#20 ['crown', 'pirate_eyepatch', 'none']
BNB_Face#21 ['none', 'eyes', 'mouth']
BNB_Face#22 ['none', 'round_glasses', 'mouth']
BNB_Face#23 ['none', 'pixel_sunglasses', 'mouth']
BNB_Face#24 ['none', 'pirate_eyepatch', 'mouth']
BNB_Face#25 ['headband', 'eyes', 'mouth']
BNB_Face#26 ['headband', 'round_glasses', 'mouth']
BNB_Face#27 ['headband', 'pixel_sunglasses', 'mouth']
BNB_Face#28 ['headband', 'pirate_eyepatch', 'mouth']
BNB_Face#29 ['headset', 'eyes', 'mouth']
BNB_Face#30 ['headset', 'round_glasses', 'mouth']
BNB_Face#31 ['headset', 'pixel_sunglasses', 'mouth']
BNB_Face#32 ['headset', 'pirate_eyepatch', 'mouth']
BNB_Face#33 ['fedora', 'eyes', 'mouth']
BNB_Face#34 ['fedora', 'round_glasses', 'mouth']
BNB_Face#35 ['fedora', 'pixel_sunglasses', 'mouth']
BNB_Face#36 ['fedora', 'pirate_eyepatch', 'mouth']
BNB_Face#37 ['crown', 'eyes', 'mouth']
BNB_Face#38 ['crown', 'round_glasses', 'mouth']
BNB_Face#39 ['crown', 'pixel_sunglasses', 'mouth']
BNB_Face#40 ['crown', 'pirate_eyepatch', 'mouth']
BNB_Face#41 ['none', 'eyes', 'mustache']
BNB_Face#42 ['none', 'round_glasses', 'mustache']
BNB_Face#43 ['none', 'pixel_sunglasses', 'mustache']
BNB_Face#44 ['none', 'pirate_eyepatch', 'mustache']
BNB_Face#45 ['headband', 'eyes', 'mustache']
BNB_Face#46 ['headband', 'round_glasses', 'mustache']
BNB_Face#47 ['headband', 'pixel_sunglasses', 'mustache']
BNB_Face#48 ['headband', 'pirate_eyepatch', 'mustache']
BNB_Face#49 ['headset', 'eyes', 'mustache']
BNB_Face#50 ['headset', 'round_glasses', 'mustache']
BNB_Face#51 ['headset', 'pixel_sunglasses', 'mustache']
BNB_Face#52 ['headset', 'pirate_eyepatch', 'mustache']
BNB_Face#53 ['fedora', 'eyes', 'mustache']
BNB_Face#54 ['fedora', 'round_glasses', 'mustache']
BNB_Face#55 ['fedora', 'pixel_sunglasses', 'mustache']
BNB_Face#56 ['fedora', 'pirate_eyepatch', 'mustache']
BNB_Face#57 ['crown', 'eyes', 'mustache']
BNB_Face#58 ['crown', 'round_glasses', 'mustache']
BNB_Face#59 ['crown', 'pixel_sunglasses', 'mustache']
BNB_Face#60 ['crown', 'pirate_eyepatch', 'mustache']
BNB_Face#61 ['none', 'eyes', 'beard']
BNB_Face#62 ['none', 'round_glasses', 'beard']
